Date,Dim-0,Dim-1,Dim-2,Dim-3,Dim-4,Dim-5,Dim-6,Dim-7,Dim-8,Dim-9,Dim-10,Dim-11,Dim-12,Dim-13,Dim-14,Dim-15,Dim-16,Dim-17,Dim-18,Dim-19,Dim-20,Dim-21,Dim-22,Dim-23,Dim-24,Dim-25,Dim-26,Dim-27,Dim-28,Dim-29,Dim-30,Dim-31,Dim-32,Dim-33,Dim-34,Dim-35,Dim-36,Dim-37,Dim-38,Dim-39,Dim-40,Dim-41,Dim-42,Dim-43,Dim-44,Dim-45,Dim-46,Dim-47,Dim-48,Dim-49,Dim-50,Dim-51,Dim-52,Dim-53,Dim-54,Dim-55,Dim-56,Dim-57,Dim-58,Dim-59,Dim-60,Dim-61,Dim-62,Dim-63,Dim-64,Dim-65,Dim-66,Dim-67,Dim-68,Dim-69,Dim-70,Dim-71,Dim-72,Dim-73,Dim-74,Dim-75,Dim-76,Dim-77,Dim-78,Dim-79,Dim-80,Dim-81,Dim-82,Dim-83,Dim-84,Dim-85,Dim-86,Dim-87,Dim-88,Dim-89,Dim-90,Dim-91,Dim-92,Dim-93,Dim-94,Dim-95,Dim-96,Dim-97,Dim-98,Dim-99
2016/6/1,0.17287846,0.06531691,0.072692014,-0.014395471,0.06755928,-0.06019981,0.003413238,-0.027377818,0.002595102,0.004950868,-0.019252617,0.022792473,-0.045522925,-0.029693577,0.040912624,0.10367964,-0.07229969,0.0145204,0.062686,-0.01547868,0.01757923,0.061750848,-0.08751584,-0.0272021,0.003389001,0.047633555,0.06463467,0.011831829,-0.027721567,0.12164536,0.03369721,-0.09120553,-0.034677558,0.06636816,0.027117094,0.034944415,0.017134264,-0.012942188,-0.002701918,0.021918753,-0.04726117,-0.0358065,0.002645754,0.049366403,0.069436066,0.06327033,0.009373141,-0.050559342,-0.030840328,-0.061004255,0.01625621,-0.037126508,0.022257755,-0.023774458,0.070322305,-0.002793504,0.018791882,-0.032881785,-0.031629622,0.0076379,0.07905588,0.04970526,0.039082907,-0.039207473,0.029799987,-0.018211992,0.027045362,-0.08288099,0.012402129,-0.042098492,0.09722723,-0.02826087,-0.010195347,-0.07468399,0.002635788,0.00863918,0.1282536,-0.09265072,0.12917265,-0.008410422,0.046956804,0.05691865,-0.066528074,0.004940515,-0.045924746,0.04795408,-0.03420945,-0.08446224,-0.10936037,-0.024126273,-0.048004758,-0.18910755,0.05950579,0.011190631,-0.013654437,-0.13876717,0.12384366,-0.033673905,-0.06552382,-0.004911639
2016/6/2,0.1794246,0.0633125,0.069994226,-0.006009584,0.06573417,-0.058410086,0.004913888,-0.03012646,-0.0008315,0.002331396,-0.02296988,0.023474688,-0.045982245,-0.031903606,0.03531647,0.1086888,-0.07196881,0.015064214,0.057209346,-0.012597254,0.022823175,0.061307397,-0.089101255,-0.025180774,0.001235548,0.048057795,0.06544777,0.010861037,-0.028100854,0.11687935,0.036292683,-0.09438297,-0.032966033,0.06668077,0.029467527,0.036871072,0.018383253,-0.011214058,-0.004713749,0.0225273,-0.05001398,-0.035244122,0.003640364,0.051352594,0.069466874,0.06499078,0.008520639,-0.05175264,-0.027830794,-0.06058419,0.015389824,-0.03342652,0.02168993,-0.021890305,0.07270311,-0.006920991,0.015993513,-0.034727596,-0.03357072,0.00565601,0.08046733,0.049521156,0.042405427,-0.042412538,0.03171984,-0.020248583,0.025184615,-0.0831621,0.011967813,-0.042059027,0.09512008,-0.024437666,-0.016888393,-0.07215775,0.008040426,0.007871676,0.12651719,-0.09135635,0.12966228,-0.007252605,0.047615252,0.052159466,-0.06691082,0.007256193,-0.041293137,0.048116587,-0.031220108,-0.08389564,-0.102866895,-0.022588762,-0.04961647,-0.18910383,0.055466894,0.009541681,-0.011951291,-0.1369493,0.119015105,-0.03613641,-0.064282976,-0.008683072
2016/6/3,0.1765644,0.068676636,0.07066906,-0.008742066,0.06268031,-0.058274876,0.003971934,-0.027170107,-0.002465807,0.003328016,-0.023456862,0.02476326,-0.046667255,-0.031414784,0.037930798,0.10827191,-0.07585888,0.016765889,0.060993273,-0.011690822,0.021076659,0.06280194,-0.09249302,-0.023790056,-0.00117673,0.046723805,0.06538045,0.012152252,-0.027386261,0.121046305,0.03677722,-0.09498669,-0.0346712,0.06875016,0.029215757,0.03852716,0.019038575,-0.011734121,-0.003820016,0.023676157,-0.052453548,-0.035232604,0.007185655,0.054032046,0.06964845,0.06908105,0.00892602,-0.0516613,-0.02721808,-0.06153083,0.014249005,-0.035285007,0.02357497,-0.020981064,0.0747694,-0.008751451,0.013545366,-0.03491362,-0.035295133,0.006074004,0.080175616,0.04957069,0.04075216,-0.041538853,0.03336444,-0.018874856,0.02643933,-0.08509313,0.012710947,-0.042789098,0.09742793,-0.024945822,-0.016374653,-0.07168983,0.006988523,0.010326706,0.12744205,-0.091340914,0.12959227,-0.005601041,0.049171265,0.04848076,-0.06728887,0.009564112,-0.04031602,0.055389203,-0.033264145,-0.0839236,-0.10577152,-0.022453513,-0.05012668,-0.18493627,0.05719563,0.012856972,-0.012003094,-0.13461399,0.11663911,-0.037095632,-0.06126698,-0.00777801
2016/6/4,0.1699037,0.06198838,0.07368344,-0.007559945,0.06375078,-0.058974955,0.004285428,-0.029218137,-0.002126537,-0.001615995,-0.020374758,0.025233734,-0.04520741,-0.028288217,0.03429354,0.10296168,-0.073415354,0.015370546,0.060545083,-0.015892847,0.017029865,0.059869997,-0.08402813,-0.026833108,0.001529801,0.04333258,0.06244451,0.007300433,-0.024290595,0.11974423,0.03273717,-0.09638951,-0.03188215,0.06630986,0.02867055,0.035776652,0.016890196,-0.012173743,-0.003893366,0.020767914,-0.050683096,-0.03560218,-0.000832409,0.0482544,0.07229626,0.06356029,0.008609192,-0.05224993,-0.027700104,-0.0606378,0.018115522,-0.034049775,0.015837636,-0.023147468,0.06990943,-0.000292699,0.020227222,-0.032529034,-0.029561086,0.009446449,0.079955675,0.04892462,0.040881343,-0.04072413,0.030484272,-0.01972313,0.02611433,-0.081762485,0.01193449,-0.039848376,0.09400615,-0.025830094,-0.009157034,-0.074275255,0.004758274,0.010103423,0.12248304,-0.09250312,0.12698714,-0.004902204,0.045924205,0.055322807,-0.069202945,0.009891578,-0.047582094,0.04606377,-0.024781855,-0.08720651,-0.10499132,-0.023602197,-0.04928031,-0.19122525,0.06099178,0.013411243,-0.013039487,-0.14230882,0.13098326,-0.029748416,-0.076273836,-0.003122388
2016/6/5,0.17212659,0.063159935,0.07346442,-0.010878099,0.06551833,-0.058596343,0.005397716,-0.029231299,-0.000809451,0.000431203,-0.020385437,0.023918843,-0.044491816,-0.029759102,0.035086747,0.10142382,-0.073838845,0.015344822,0.062082604,-0.013516293,0.018967753,0.06244997,-0.087973885,-0.02468668,0.00300121,0.04629938,0.06448796,0.009726591,-0.026634963,0.12147991,0.03451026,-0.092089705,-0.03391828,0.06625205,0.026866991,0.036582142,0.017715907,-0.013722048,-0.004014124,0.022745134,-0.04986163,-0.03392555,0.001740602,0.049879093,0.07016278,0.06565424,0.008086487,-0.049984664,-0.02913726,-0.059924148,0.016492119,-0.036432043,0.019524511,-0.02513841,0.070245504,-0.00364578,0.020205453,-0.033300288,-0.03104856,0.007964981,0.079889745,0.04950399,0.04150443,-0.040326312,0.030750317,-0.01967978,0.027063273,-0.08365449,0.012346025,-0.04175247,0.09704029,-0.025973283,-0.010908227,-0.07458988,0.004469907,0.009802699,0.12542433,-0.09198274,0.12910484,-0.006353431,0.04717031,0.054956596,-0.06738244,0.00629703,-0.0448984,0.04662813,-0.031764805,-0.08517331,-0.10529573,-0.024355076,-0.050627686,-0.18936327,0.058971383,0.011501734,-0.01290287,-0.1393795,0.12300079,-0.031986292,-0.06766567,-0.006282376
2016/6/6,0.17217638,0.05509172,0.07256916,-0.00873693,0.06548664,-0.05474415,0.00110462,-0.03716756,-0.002842061,0.00672156,-0.022210902,0.028670106,-0.048287295,-0.02780506,0.045891117,0.1044797,-0.07571329,0.016272612,0.061794467,-0.011320666,0.021127185,0.05793894,-0.091023035,-0.02836968,-0.000719278,0.043966297,0.06176608,0.014118277,-0.025509786,0.120780624,0.03662518,-0.09609773,-0.034246705,0.070224665,0.028706966,0.038720626,0.018096186,-0.013621869,-0.004867666,0.022562096,-0.050970513,-0.035428397,0.000639216,0.050469123,0.07004619,0.06490834,0.00819762,-0.051223632,-0.029198801,-0.059781432,0.014906501,-0.037578177,0.022420445,-0.023007965,0.072667986,-0.00387927,0.018892556,-0.035218813,-0.03304108,0.00690714,0.080801025,0.051839735,0.04104763,-0.04197173,0.029213162,-0.019759301,0.026676409,-0.08259568,0.01029251,-0.042891808,0.09507414,-0.024964847,-0.01098142,-0.07408389,0.006149555,0.009161959,0.12631221,-0.090005554,0.12870005,-0.005896518,0.04332744,0.05156466,-0.06945657,0.008785227,-0.04794013,0.04918959,-0.03353335,-0.0856313,-0.09908178,-0.02461104,-0.048034117,-0.19098672,0.05656091,0.008596529,-0.011978,-0.13945854,0.11967588,-0.03593403,-0.068199076,-0.009584349
2016/6/7,0.17866461,0.06226233,0.07202756,-0.009428167,0.06908722,-0.057347033,0.005399184,-0.03378572,0.000175703,0.00338073,-0.020662503,0.024337275,-0.046241187,-0.029513592,0.037869375,0.104165144,-0.07266022,0.015050006,0.05869118,-0.012801007,0.02010879,0.060407083,-0.08758631,-0.027039556,0.003301568,0.046854887,0.06398005,0.012130446,-0.027091019,0.1255963,0.035738423,-0.092970975,-0.037114397,0.06685013,0.029115552,0.034686763,0.018704897,-0.013320354,-0.003012764,0.023776075,-0.0487739,-0.03570914,0.004854327,0.051366698,0.07027987,0.06588034,0.007788037,-0.050422512,-0.030431578,-0.06106833,0.01784053,-0.034802023,0.024520295,-0.02411177,0.07216322,-0.006007599,0.017746853,-0.033997323,-0.032790806,0.006819787,0.08018876,0.05029505,0.04126755,-0.041698176,0.03016545,-0.017937213,0.025941605,-0.08352499,0.013006709,-0.040768806,0.096030034,-0.027518068,-0.010316902,-0.07400579,0.006705395,0.006586063,0.13049194,-0.09299939,0.12883855,-0.009422042,0.04490314,0.057921007,-0.06698787,0.004977098,-0.04692371,0.04358583,-0.031430904,-0.08638282,-0.106102176,-0.02333676,-0.050261553,-0.19380598,0.058336023,0.011048132,-0.013127818,-0.14020248,0.11902979,-0.036761805,-0.06252307,-0.005696007
2016/6/8,0.17253539,0.058349926,0.07662878,-0.006303111,0.06903768,-0.05729614,0.005241484,-0.03145507,-0.001957498,0.007293569,-0.019506313,0.0247431,-0.04691932,-0.030406717,0.045068678,0.10424409,-0.0737213,0.012153492,0.063943826,-0.01257859,0.020456005,0.060150463,-0.089167275,-0.024703812,0.000606638,0.043992862,0.063249804,0.012927002,-0.028803887,0.12505911,0.035776008,-0.093984924,-0.03586213,0.07017117,0.028271079,0.03701074,0.01883988,-0.015282067,-0.003688088,0.023925921,-0.051437937,-0.034859225,0.000761209,0.051080346,0.071635336,0.06943962,0.006100496,-0.049559988,-0.029647455,-0.059485365,0.015275634,-0.03531859,0.022862658,-0.024226446,0.074341096,-0.004932154,0.022550775,-0.03879186,-0.033751205,0.007328384,0.08106974,0.051449224,0.04244311,-0.042830072,0.029458253,-0.017373376,0.028122187,-0.083681345,0.008592155,-0.04345724,0.09704833,-0.02551419,-0.010215469,-0.07383799,0.006776819,0.007003733,0.12557213,-0.09120082,0.13126074,-0.005444266,0.044242647,0.05574496,-0.07061683,0.007124181,-0.04703935,0.0445082,-0.031082647,-0.08947782,-0.10099209,-0.023948558,-0.049210362,-0.19212909,0.059338845,0.008593258,-0.013760999,-0.1406113,0.11656437,-0.03384492,-0.067120135,-0.004844711
2016/6/9,0.17331283,0.060721878,0.07401972,-0.005221876,0.067533575,-0.059479732,0.003998959,-0.030347148,0.000292156,0.006168194,-0.020360297,0.022012062,-0.045659382,-0.030302674,0.03894428,0.10362649,-0.07352354,0.013934847,0.05893202,-0.009573893,0.018755427,0.061638568,-0.08890984,-0.02346511,-0.000357203,0.044761784,0.06372291,0.011953197,-0.029104862,0.1239787,0.03626405,-0.09219103,-0.035272516,0.068665914,0.028280964,0.0386007,0.01852588,-0.01317935,-0.004058365,0.023209233,-0.049799427,-0.0350422,0.005020638,0.052219782,0.06859936,0.06698588,0.008352404,-0.050086413,-0.027983036,-0.05980653,0.013581662,-0.034950174,0.023014685,-0.021876054,0.072662786,-0.006533932,0.019103317,-0.034182835,-0.033163447,0.006537161,0.08034113,0.049399085,0.04143635,-0.04097702,0.031548694,-0.017926909,0.027025072,-0.08533679,0.01265271,-0.04315223,0.09958755,-0.026310034,-0.014449162,-0.07378072,0.005886847,0.009122405,0.1266523,-0.089971915,0.13207886,-0.007164239,0.04743019,0.054510836,-0.06719282,0.006120493,-0.041962996,0.04609088,-0.032737214,-0.08576843,-0.10604145,-0.02258949,-0.04904768,-0.19173074,0.05799591,0.009863703,-0.014128469,-0.13851914,0.11244555,-0.035711903,-0.064002655,-0.00608935
2016/6/10,0.17937088,0.060643315,0.0733881,-0.001919797,0.06426086,-0.058457337,0.003605492,-0.03172593,-0.004159376,0.003688131,-0.020174276,0.02509226,-0.04812424,-0.029569816,0.040356223,0.10720235,-0.076063044,0.016062569,0.05802319,-0.008464862,0.018968876,0.06005561,-0.091816865,-0.026659254,-0.000856221,0.043523878,0.06266436,0.011295045,-0.028167231,0.123678036,0.036978364,-0.09690827,-0.03362457,0.069367856,0.029606765,0.03781655,0.018689217,-0.01282474,-0.004999157,0.022650706,-0.05210465,-0.035869822,0.00274288,0.052779812,0.07069562,0.068895966,0.006960267,-0.051251195,-0.027443033,-0.061023016,0.015230411,-0.035954803,0.02256223,-0.023804443,0.07411204,-0.00539487,0.017943084,-0.035758715,-0.03382804,0.007910426,0.08297084,0.050676517,0.044133153,-0.042070042,0.032107618,-0.02116072,0.025809566,-0.08677118,0.008916996,-0.041359022,0.0971886,-0.022934666,-0.013933037,-0.07259113,0.007865878,0.010898583,0.12483211,-0.09223277,0.13137035,-0.004168204,0.04609705,0.053423125,-0.06855641,0.010415905,-0.043863054,0.05077761,-0.030168822,-0.09003036,-0.1036751,-0.021733297,-0.050314117,-0.1926795,0.05666323,0.009018268,-0.015511585,-0.13723655,0.1163123,-0.035436064,-0.06615529,-0.007295611
