Date,Topic-0,Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18,Topic-19,Topic-20,Topic-21,Topic-22,Topic-23,Topic-24,Topic-25,Topic-26,Topic-27,Topic-28,Topic-29,Topic-30,Topic-31,Topic-32,Topic-33,Topic-34,Topic-35,Topic-36,Topic-37,Topic-38,Topic-39,Topic-40,Topic-41,Topic-42,Topic-43,Topic-44,Topic-45,Topic-46,Topic-47,Topic-48,Topic-49
2015-07-02,0.017937915,0.002332727,0.028605945,0.042039651,0.01637442,0.038409836,0.042239588,0.031361264,0.02293984,0.015175972,0.010315908,0.044499636,0,0.019136851,0.005823701,0,0.014270025,0,0.027274051,0.004928244,0.01217671,0.019799087,0.024957327,0.034624012,0.036286611,0.002835107,0.019570545,0.016265809,0.01605011,0,0.016858393,0.038332887,0.022627828,0.05756009,0.141267715,0.021248897,0.023733577,0.013880681,0.009414899,0.011066898,0.005441167,0.005150003,0.007182053,0,0,0,0,0,0,0
2015-07-03,0.023492943,0.013651327,0.026439816,0.034782212,0.040637066,0.007160667,0.005322994,0.011152562,0.02924383,0.009385956,0.040221873,0.022925176,0.083993019,0.010105325,0.013669748,0.00388634,0.019924394,0.036659109,0.034943977,0.004283162,0,0.018566685,0.003971256,0.043611158,0.016910791,0.045017144,0.034647993,0.022722966,0,0,0.043514971,0.018327572,0.018466405,0.002924318,0.085897079,0.033956346,0.022741413,0.003732086,0.025239895,0.004147509,0.007752826,0,0.009397677,0,0,0,0,0,0,0
2015-07-04,0,0.025292726,0,0.027156263,0.049794556,0.038779277,0.032836566,0.005806057,0.012118811,0.017006507,0.004953838,0.082206084,0.014673968,0.003930515,0,0.010535967,0.027019215,0.006290094,0.063031192,0,0.007788275,0.013508471,0.004939487,0.031602369,0.010320478,0.011451863,0.059043075,0.01575119,0.066494779,0.004798989,0.022514954,0.0133645,0,0,0.050823365,0,0.02234237,0.018126991,0.01340328,0.026958074,0.022808707,0,0.098967127,0,0,0,0,0,0,0
2015-07-05,0.008492148,0.012089006,0.00805425,0.075125256,0.041032052,0.011175963,0.013794329,0.013300741,0,0.018167057,0.04171008,0.021141988,0.005644649,0,0.006549412,0,0.02485731,0,0.038317086,0.0215519,0.008274367,0.004390959,0.026800545,0.019499699,0.024703226,0.004820748,0.004508538,0.002765268,0,0.014368676,0,0,0.080225495,0.034135708,0.167330166,0.049688608,0.044796308,0,0.036568625,0.017168637,0.006588229,0,0.032379931,0,0,0,0,0,0,0
2015-07-06,0.019358454,0.038901415,0.043072305,0.024724411,0.034173399,0.005129362,0.005270826,0.015763059,0.011345896,0.009612052,0.023231641,0.017017023,0.025087916,0.001528022,0.043325861,0.005338538,0.012511907,0.008613523,0.048197803,0.019160577,0.017923198,0.006122962,0.00802863,0.008413456,0.011869374,0.025851922,0.002556354,0.018991034,0.019640057,0.012123535,0.017945819,0.006039825,0.016658473,0.028017059,0.057448848,0.079490648,0.023538516,0.003288679,0.06019088,0.037703457,0.033394045,0.004596411,0.024928361,0,0,0,0,0,0,0
2015-07-07,0.018856337,0.00691839,0.009784524,0.04515041,0.021766736,0.016247212,0.059557845,0.022764197,0.013898517,0.042472386,0.048813518,0.015365229,0,0,0.045784169,0.016527763,0.039270718,0.008347229,0.025394296,0.010382097,0.007436841,0,0.012368001,0.01176762,0.090438093,0.023134047,0.007076519,0.025063873,0.0114346,0,0.006382892,0.01456165,0.006797326,0.033466651,0.03939571,0.047126265,0.016183411,0.002723068,0.012294423,0,0.056877396,0.025004026,0.021918675,0,0,0,0,0,0,0
2015-07-08,0.041609919,0,0.008698176,0.032967663,0.019758023,0.009639009,0.051836184,0.145480134,0.019834488,0,0.014918126,0.051039038,0.015066231,0.012915067,0.012460666,0.009529524,0.03186722,0.026795524,0.039838526,0.027603892,0.028816598,0.009768485,0.002101103,0.017589998,0.002635625,0.047580197,0,0,0.00780345,0.019809635,0.01626114,0.010306292,0.005037321,0,0.005827406,0.010768041,0.017843804,0.015114348,0.037094753,0.020909464,0.021330813,0.036571769,0.033385505,0,0,0,0,0,0,0
2015-07-09,0.005441077,0.00485904,0.004119877,0.011589541,0.020499529,0.010288744,0.054527728,0.093118008,0.018332636,0.003345741,0,0.058708103,0,0.020684707,0,0.018220902,0.009955431,0.02347578,0.056896905,0.017008708,0.028518087,0.017138422,0.014124816,0.015728335,0.026548202,0.023838311,0.017315397,0.00894959,0.018052074,0,0.035470246,0.017423036,0.031147943,0.008931509,0.056811965,0,0,0.004390088,0.025052519,0.025232467,0.011328783,0.055349517,0.066228741,0,0,0,0,0,0,0
2015-07-10,0,0.044518321,0,0.030554033,0,0.041304059,0.03758031,0.01784532,0.014904113,0.055974069,0,0.020599019,0.014179141,0.008168481,0.015711195,0,0,0.01329183,0.030907207,0.015526588,0.015613826,0.015745799,0.034687971,0.028100152,0.012381537,0.034489698,0.042813799,0.007711865,0.020200918,0.0025959,0.037981231,0.020131519,0.041646478,0.006698909,0.043494701,0.030062683,0.051064069,0,0.033132196,0.00776005,0.022427165,0.04227384,0.021187849,0,0,0,0,0,0,0
2015-07-11,0.01067925,0.023144556,0.024983605,0.048303332,0.009788158,0.004092566,0,0.017011328,0,0.034812243,0.002686267,0.003319866,0.027812785,0.012915432,0.010929641,0.017051419,0.019160617,0.010355174,0.059282198,0.004049282,0.013475644,0.018539654,0.018868286,0.03129815,0.038207906,0.011816007,0,0.003265576,0.012348348,0.005051198,0.055248093,0.044093276,0.043911916,0.037055458,0.090834145,0.021054646,0.051022698,0.019148088,0.045221867,0,0.014704845,0.007476095,0.012093307,0,0,0,0,0,0,0
