Date,"polarity_title_range(0,0.2]","polarity_title_range(0.2,0.4]","polarity_title_range(0.4,0.6]","polarity_title_range(0.6,0.8]","polarity_title_range(0.8,1]",polarity_title_max,polarity_title_min,polarity_title_mean,polarity_title_std,"subject_title_range(0,0.2]","subject_title_range(0.2,0.4]","subject_title_range(0.4,0.6]","subject_title_range(0.6,0.8]","subject_title_range(0.8,1]",subject_title_max,subject_title_min,subject_title_mean,subject_title_std
2016-06-01,0.0,0.1111111111111111,0.7777777777777778,0.08333333333333333,0.027777777777777776,0.85,0.25,0.5104166666666666,0.10633924823077184,0.6944444444444444,0.1388888888888889,0.08333333333333333,0.027777777777777776,0.05555555555555555,1.0,0.0,0.16736111111111113,0.277162314199998
2016-06-02,0.020833333333333332,0.08333333333333333,0.7291666666666666,0.14583333333333334,0.020833333333333332,0.85,0.09999999999999998,0.51719172754329,0.1164822194893173,0.6041666666666666,0.125,0.14583333333333334,0.041666666666666664,0.08333333333333333,1.0,0.0,0.23193993506493504,0.3128047141025685
2016-06-03,0.0,0.08823529411764706,0.7352941176470589,0.14705882352941177,0.029411764705882353,0.9,0.33333333333333337,0.5198780080213904,0.10742556016709004,0.5882352941176471,0.17647058823529413,0.14705882352941177,0.029411764705882353,0.058823529411764705,0.9,0.0,0.21524064171122995,0.2756053983215931
2016-06-04,0.0,0.02702702702702703,0.8378378378378378,0.08108108108108109,0.05405405405405406,1.0,0.4,0.5417952205452206,0.11483093049224986,0.6756756756756757,0.08108108108108109,0.1891891891891892,0.0,0.05405405405405406,1.0,0.0,0.1773242073242073,0.27604688096766805
2016-06-05,0.02040816326530612,0.04081632653061224,0.8367346938775511,0.061224489795918366,0.04081632653061224,0.95,0.0,0.510602651316937,0.12681815774929148,0.6938775510204082,0.10204081632653061,0.08163265306122448,0.02040816326530612,0.10204081632653061,1.0,0.0,0.17857012035583464,0.30480688799248185
2016-06-06,0.06666666666666667,0.06666666666666667,0.7666666666666667,0.1,0.0,0.75,0.0,0.4828935185185185,0.14103213240747361,0.6666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,1.0,0.0,0.23166666666666666,0.3445066993548648
2016-06-07,0.05128205128205128,0.07692307692307693,0.8461538461538461,0.02564102564102564,0.0,0.625,0.0,0.4714063714063714,0.11977211291182858,0.717948717948718,0.1794871794871795,0.05128205128205128,0.0,0.05128205128205128,1.0,0.0,0.14812224812224814,0.26338221235723563
2016-06-08,0.0,0.14285714285714285,0.7428571428571429,0.08571428571428572,0.02857142857142857,0.9,0.25,0.5076406926406926,0.1121072658722644,0.6857142857142857,0.11428571428571428,0.11428571428571428,0.0,0.08571428571428572,1.0,0.0,0.18054112554112556,0.3130497525629002
2016-06-09,0.0,0.07317073170731707,0.8048780487804879,0.12195121951219512,0.0,0.7,0.25,0.5051829268292682,0.08436229579154132,0.7073170731707317,0.04878048780487805,0.0975609756097561,0.04878048780487805,0.0975609756097561,1.0,0.0,0.19573170731707318,0.3386509282720368
2016-06-10,0.0,0.13636363636363635,0.8409090909090909,0.0,0.022727272727272728,0.875,0.25,0.4870240554899646,0.09784076760481727,0.6818181818181818,0.11363636363636363,0.06818181818181818,0.022727272727272728,0.11363636363636363,1.0,0.0,0.20312254033844945,0.32834130591719973
2016-06-11,0.0,0.06666666666666667,0.8333333333333334,0.1,0.0,0.75,0.33333333333333337,0.5246338383838384,0.08534978906357873,0.7,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.03333333333333333,1.0,0.0,0.17237373737373737,0.2778859277764327
2016-06-12,0.027777777777777776,0.05555555555555555,0.7777777777777778,0.1111111111111111,0.027777777777777776,0.85,0.15000000000000002,0.5184448653198653,0.12104723022361497,0.75,0.027777777777777776,0.1111111111111111,0.027777777777777776,0.08333333333333333,1.0,0.0,0.1806818181818182,0.3187511655237672
2016-06-13,0.05555555555555555,0.027777777777777776,0.7222222222222222,0.16666666666666666,0.027777777777777776,0.9,0.09999999999999998,0.5240582912457913,0.1410909451057316,0.6666666666666666,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.05555555555555555,1.0,0.0,0.20845959595959596,0.30843925342800904
2016-06-14,0.02040816326530612,0.02040816326530612,0.7959183673469388,0.14285714285714285,0.02040816326530612,0.85,0.0,0.5294642857142857,0.11909216056623265,0.6122448979591837,0.14285714285714285,0.16326530612244897,0.061224489795918366,0.02040816326530612,1.0,0.0,0.20578231292517007,0.27070618854023887
2016-06-15,0.0,0.04878048780487805,0.9024390243902439,0.04878048780487805,0.0,0.6785714285714286,0.25,0.49869170463682655,0.06816082643935223,0.7560975609756098,0.17073170731707318,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,0.0,0.13147949611364243,0.22543810316826368
2016-06-16,0.0,0.2,0.52,0.2,0.08,0.9,0.25,0.5371298701298701,0.1523247506642431,0.52,0.2,0.0,0.16,0.12,1.0,0.0,0.31895670995671,0.3573067091012058
2016-06-17,0.0,0.047619047619047616,0.8333333333333334,0.09523809523809523,0.023809523809523808,0.9,0.25,0.512522546897547,0.09424309377291823,0.7380952380952381,0.07142857142857142,0.11904761904761904,0.023809523809523808,0.047619047619047616,1.0,0.0,0.1658008658008658,0.2807967212780476
2016-06-18,0.05405405405405406,0.0,0.8378378378378378,0.10810810810810811,0.0,0.75,0.09999999999999998,0.5023802211302212,0.10803295616328884,0.7297297297297297,0.02702702702702703,0.13513513513513514,0.02702702702702703,0.08108108108108109,1.0,0.0,0.17751842751842753,0.30538740542179416
