Date,"polarity_des_range(0,0.2]","polarity_des_range(0.2,0.4]","polarity_des_range(0.4,0.6]","polarity_des_range(0.6,0.8]","polarity_des_range(0.8,1]",polarity_des_max,polarity_des_min,polarity_des_mean,polarity_des_std,"subject_des_range(0,0.2]","subject_des_range(0.2,0.4]","subject_des_range(0.4,0.6]","subject_des_range(0.6,0.8]","subject_des_range(0.8,1]",subject_des_max,subject_des_min,subject_des_mean,subject_des_std
2016-06-01,0.0,0.08333333333333333,0.7777777777777778,0.08333333333333333,0.05555555555555555,0.85,0.3,0.5304727332852333,0.11506141651108376,0.3333333333333333,0.3055555555555556,0.25,0.1111111111111111,0.0,0.75,0.0,0.3178616522366522,0.2416997161903316
2016-06-02,0.0,0.125,0.7291666666666666,0.14583333333333334,0.0,0.75,0.25,0.5060103452681578,0.10266933470879876,0.4791666666666667,0.2708333333333333,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.9,0.0,0.24037867514430014,0.25806201671939005
2016-06-03,0.0,0.11764705882352941,0.7058823529411765,0.14705882352941177,0.029411764705882353,0.875,0.3416666666666667,0.5240815189712249,0.10339244936379095,0.3235294117647059,0.38235294117647056,0.23529411764705882,0.029411764705882353,0.029411764705882353,0.825,0.0,0.3048892284186402,0.2274662230949414
2016-06-04,0.0,0.05405405405405406,0.5945945945945946,0.1891891891891892,0.16216216216216217,1.0,0.4,0.5941731747981748,0.16760899359585332,0.24324324324324326,0.40540540540540543,0.10810810810810811,0.13513513513513514,0.10810810810810811,1.0,0.0,0.38204145704145703,0.30570479661303995
2016-06-05,0.0,0.08163265306122448,0.7142857142857143,0.10204081632653061,0.10204081632653061,1.0,0.30000000000000004,0.546415429808287,0.1475663006796359,0.4897959183673469,0.12244897959183673,0.24489795918367346,0.08163265306122448,0.061224489795918366,1.0,0.0,0.2899917542774686,0.3013966016094538
2016-06-06,0.0,0.16666666666666666,0.8,0.03333333333333333,0.0,0.65,0.25,0.4742729377104377,0.09158825590962458,0.5666666666666667,0.13333333333333333,0.26666666666666666,0.03333333333333333,0.0,0.75,0.0,0.23109427609427607,0.22899456830807316
2016-06-07,0.0,0.15384615384615385,0.6923076923076923,0.15384615384615385,0.0,0.775,0.25,0.49379699004699007,0.10229618771183828,0.5128205128205128,0.20512820512820512,0.23076923076923078,0.02564102564102564,0.02564102564102564,1.0,0.0,0.25330539830539833,0.24379489905848345
2016-06-08,0.0,0.11428571428571428,0.8,0.08571428571428572,0.0,0.7,0.25,0.515446158008658,0.08404228438473371,0.5142857142857142,0.17142857142857143,0.17142857142857143,0.08571428571428572,0.05714285714285714,1.0,0.0,0.2752683982683983,0.30006762972582074
2016-06-09,0.024390243902439025,0.0975609756097561,0.6829268292682927,0.17073170731707318,0.024390243902439025,1.0,0.15000000000000002,0.523958399324253,0.1354209046519203,0.6097560975609756,0.07317073170731707,0.14634146341463414,0.04878048780487805,0.12195121951219512,1.0,0.0,0.27310438883609617,0.33962101042323317
2016-06-10,0.022727272727272728,0.022727272727272728,0.75,0.18181818181818182,0.022727272727272728,0.9,0.15000000000000002,0.5313286681752591,0.11340275219556997,0.5227272727272727,0.22727272727272727,0.13636363636363635,0.045454545454545456,0.06818181818181818,1.0,0.0,0.2530976157680703,0.28708585561514033
2016-06-11,0.0,0.03333333333333333,0.8,0.16666666666666666,0.0,0.75,0.35,0.5344883207070708,0.08865666312543506,0.4,0.13333333333333333,0.3333333333333333,0.1,0.03333333333333333,0.9,0.0,0.3351482683982684,0.27447406006443426
2016-06-12,0.0,0.08333333333333333,0.7222222222222222,0.19444444444444445,0.0,0.7083333333333334,0.3,0.5280772468272468,0.09343224898329335,0.5,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.0,0.7,0.0,0.2604217927134594,0.25446381280513214
2016-06-13,0.0,0.08333333333333333,0.6388888888888888,0.2777777777777778,0.0,0.7083333333333334,0.31666666666666665,0.5451231561648229,0.09485378066590675,0.3611111111111111,0.25,0.3333333333333333,0.027777777777777776,0.027777777777777776,1.0,0.0,0.33176161415744754,0.23773399909560927
2016-06-14,0.02040816326530612,0.061224489795918366,0.673469387755102,0.20408163265306123,0.04081632653061224,1.0,0.0,0.5416168573490002,0.13508993380803036,0.46938775510204084,0.24489795918367346,0.20408163265306123,0.04081632653061224,0.04081632653061224,1.0,0.0,0.28256173984745414,0.2560534594614997
2016-06-15,0.0,0.17073170731707318,0.6829268292682927,0.14634146341463414,0.0,0.78125,0.3,0.514607682290609,0.10674351019477442,0.2926829268292683,0.36585365853658536,0.21951219512195122,0.0975609756097561,0.024390243902439025,1.0,0.0,0.3412450185316039,0.22786375813713836
2016-06-16,0.0,0.08,0.68,0.24,0.0,0.8,0.4,0.5396788003663003,0.1018105666212597,0.4,0.28,0.24,0.04,0.04,0.9,0.0,0.27193986568986567,0.24933630293952305
2016-06-17,0.0,0.07142857142857142,0.7619047619047619,0.14285714285714285,0.023809523809523808,0.9,0.2916666666666667,0.5391832869511441,0.10404342600273322,0.5238095238095238,0.19047619047619047,0.21428571428571427,0.07142857142857142,0.0,0.7,0.0,0.24092712842712843,0.23747173338509112
2016-06-18,0.05405405405405406,0.08108108108108109,0.6486486486486487,0.13513513513513514,0.08108108108108109,1.0,0.09999999999999998,0.5336862836862837,0.16851182459988745,0.5945945945945946,0.05405405405405406,0.21621621621621623,0.02702702702702703,0.10810810810810811,1.0,0.0,0.27352433602433607,0.31826891363077026
