Date,"polarity_body_range(0,0.2]","polarity_body_range(0.2,0.4]","polarity_body_range(0.4,0.6]","polarity_body_range(0.6,0.8]","polarity_body_range(0.8,1]",polarity_body_max,polarity_body_min,polarity_body_mean,polarity_body_std,"subject_body_range(0,0.2]","subject_body_range(0.2,0.4]","subject_body_range(0.4,0.6]","subject_body_range(0.6,0.8]","subject_body_range(0.8,1]",subject_body_max,subject_body_min,subject_body_mean,subject_body_std
2016-06-01,0.0,0.027777777777777776,0.8611111111111112,0.1111111111111111,0.0,0.6563657407407407,0.3466666666666667,0.533980455254445,0.0536217415084677,0.05555555555555555,0.5555555555555556,0.3888888888888889,0.0,0.0,0.5810185185185186,0.18333333333333335,0.37939371873349426,0.09773682787023634
2016-06-02,0.0,0.020833333333333332,0.875,0.10416666666666667,0.0,0.65,0.25,0.5289888079203188,0.05949010586286153,0.041666666666666664,0.4791666666666667,0.4791666666666667,0.0,0.0,0.56,0.0,0.387752484782373,0.10843861409772529
2016-06-03,0.0,0.0,0.9705882352941176,0.029411764705882353,0.0,0.61,0.4083333333333333,0.5318220952655172,0.04859975330311042,0.029411764705882353,0.38235294117647056,0.5588235294117647,0.029411764705882353,0.0,0.6000000000000001,0.16875,0.41148815584818954,0.08138334323475616
2016-06-04,0.0,0.02702702702702703,0.8378378378378378,0.13513513513513514,0.0,0.75,0.39978070175438596,0.5476543244185271,0.06122651041140481,0.13513513513513514,0.2972972972972973,0.5405405405405406,0.0,0.02702702702702703,1.0,0.0,0.3898497817643233,0.17864636190937563
2016-06-05,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.721111111111111,0.44,0.5463404907713004,0.05535394356740941,0.08163265306122448,0.3877551020408163,0.5102040816326531,0.02040816326530612,0.0,0.6571212121212121,0.0,0.388815113083953,0.1296534032736869
2016-06-06,0.0,0.0,0.9333333333333333,0.06666666666666667,0.0,0.628452380952381,0.4224537037037037,0.5200382086515325,0.050303767716140424,0.2,0.5,0.3,0.0,0.0,0.5172658294086865,0.0,0.3166301555282427,0.14065731480574417
2016-06-07,0.0,0.02564102564102564,0.8205128205128205,0.15384615384615385,0.0,0.7,0.36250000000000004,0.5329670532307906,0.06220681169042576,0.0,0.6410256410256411,0.358974358974359,0.0,0.0,0.54,0.2222222222222222,0.37484470368100414,0.07620593563414468
2016-06-08,0.0,0.0,0.9714285714285714,0.02857142857142857,0.0,0.6003732782369146,0.425,0.521764070223144,0.03728907176543337,0.02857142857142857,0.6285714285714286,0.3142857142857143,0.02857142857142857,0.0,0.6416666666666667,0.0,0.3601149058159001,0.10579510118864416
2016-06-09,0.0,0.0,0.8292682926829268,0.17073170731707318,0.0,0.6785714285714286,0.425,0.5449975032529332,0.059931254861137165,0.07317073170731707,0.4634146341463415,0.4634146341463415,0.0,0.0,0.575,0.0,0.3774123756104033,0.12377544791352013
2016-06-10,0.0,0.0,0.9545454545454546,0.045454545454545456,0.0,0.6090909090909091,0.4166666666666667,0.5313492627792313,0.04889734290898141,0.06818181818181818,0.4772727272727273,0.45454545454545453,0.0,0.0,0.5786363636363636,0.0,0.38132703205318297,0.10977041653091371
2016-06-11,0.0,0.0,0.9666666666666667,0.03333333333333333,0.0,0.6040437742082478,0.47819602272727274,0.5540452272162992,0.033302227095206645,0.06666666666666667,0.43333333333333335,0.5,0.0,0.0,0.5444523358585859,0.0,0.39330939366863366,0.11082213029290322
2016-06-12,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.75,0.48426573426573427,0.5514534056965795,0.057297977684922986,0.1388888888888889,0.4722222222222222,0.3888888888888889,0.0,0.0,0.6,0.0,0.35851675741567374,0.14594221386582448
2016-06-13,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.7083333333333334,0.40208333333333335,0.5417658172490707,0.05611182391028971,0.027777777777777776,0.5277777777777778,0.4444444444444444,0.0,0.0,0.5833333333333334,0.2,0.38986576462070194,0.09296553370429118
2016-06-14,0.0,0.02040816326530612,0.8163265306122449,0.16326530612244897,0.0,0.725,0.4,0.5446464477110997,0.05631248491290352,0.08163265306122448,0.46938775510204084,0.4489795918367347,0.0,0.0,0.5909090909090909,0.0,0.36807449941594667,0.11679569987010166
2016-06-15,0.0,0.0,0.9512195121951219,0.04878048780487805,0.0,0.7125,0.40080128205128207,0.5281628231583565,0.04856225595649894,0.024390243902439025,0.4634146341463415,0.4634146341463415,0.04878048780487805,0.0,0.7194444444444444,0.12976190476190477,0.39917086731887097,0.11479178545730703
2016-06-16,0.0,0.0,0.96,0.04,0.0,0.6067460317460318,0.46153846153846156,0.5263169641191365,0.043897412290577975,0.0,0.48,0.48,0.04,0.0,0.75,0.25,0.4007321321268932,0.10988083284937801
2016-06-17,0.0,0.0,0.9047619047619048,0.07142857142857142,0.023809523809523808,0.8944444444444444,0.4709467120181406,0.549327983213398,0.07228249132203414,0.023809523809523808,0.42857142857142855,0.5238095238095238,0.0,0.023809523809523808,0.9666666666666667,0.18045454545454545,0.42086717357071324,0.11600032632685593
